,Electricity Price,Wind Power,Solar Power,HPP Power,Curtailed Power,Battery SOC,Battery Power
0,34.28,151.01567327024645,0.0,146.53672433026435,0.0,75.0,-4.478948939982089
1,34.28,187.08885270011436,0.0,182.60990376013228,0.0,79.41176470588235,-4.478948939982089
2,34.28,182.4568974518525,0.0,177.97794851187044,0.0,83.82352941176471,-4.478948939982086
3,34.28,193.56525278067798,0.0,189.0863038406959,0.0,88.23529411764706,-4.478948939982082
4,34.28,197.68199343047206,0.0,193.20304449049,0.0,92.6470588235294,-4.478948939982082
5,34.28,194.14055824386898,0.0,189.6616093038869,0.0,97.05882352941177,-4.478948939982084
6,35.387,194.0453044408386,0.0,189.56635550085653,0.0,101.47058823529413,-4.478948939982086
7,39.362,177.332475680957,0.0,172.85352674097493,0.0,105.88235294117649,-4.478948939982086
8,47.918,160.08235810003194,0.0,155.60340916004986,0.0,110.29411764705884,-4.478948939982084
9,37.809,177.18488140097756,4.760904392712883,177.46683685370837,0.0,114.70588235294119,-4.478948939982084
10,37.312,174.5218698580436,11.300352809103332,181.34327372716487,0.0,119.11764705882354,-4.478948939982083
11,36.566,175.20506547116776,12.079236749813708,182.80535328099938,0.0,123.52941176470588,-4.478948939982082
12,35.664,173.68630512126288,11.898362546499994,181.10571872778078,0.0,127.94117647058823,-4.478948939982083
13,35.664,169.6446002493392,7.840285020505163,173.00593632986227,0.0,132.35294117647058,-4.478948939982082
14,35.965,146.5694783817416,1.9891992587814358,144.07972870054095,0.0,136.76470588235293,-4.478948939982082
15,36.433,105.93095476954221,0.0,101.45200582956012,0.0,141.17647058823528,-4.478948939982083
16,48.893,103.79638330924394,0.0,99.31743436926185,0.0,145.58823529411765,-4.478948939982083
17,48.893,76.58519602465684,0.0,125.83519602465684,0.0,150.0,49.25
18,48.893,80.12025799396102,0.0,80.12025799396102,0.0,100.0,0.0
19,44.52,105.15016271879236,0.0,105.15016271879236,0.0,100.0,0.0
20,37.259,75.79101518922876,0.0,75.79101518922876,0.0,100.0,0.0
21,36.446,56.11370177518232,0.0,56.11370177518232,0.0,100.0,0.0
22,35.731,53.55165786728546,0.0,53.55165786728546,0.0,100.0,0.0
23,34.28,73.40874160713057,0.0,73.40874160713057,0.0,100.0,0.0
24,34.28,88.0716135632715,0.0,88.0716135632715,0.0,100.0,0.0
25,34.28,138.8614854414499,0.0,138.8614854414499,0.0,100.0,0.0
26,34.28,140.0427096082564,0.0,140.0427096082564,0.0,100.0,0.0
27,34.28,108.25225646758363,0.0,108.25225646758363,0.0,100.0,0.0
28,34.28,96.54782949086704,0.0,96.54782949086704,0.0,100.0,0.0
29,34.28,93.9010595424056,0.0,93.9010595424056,0.0,100.0,0.0
30,35.387,86.74323397920554,0.0,86.74323397920554,0.0,100.0,0.0
31,39.362,79.58035352938809,0.0,79.58035352938809,0.0,100.0,0.0
32,47.918,67.97366436430573,7.805770708673203,75.77943507297894,0.0,100.0,0.0
33,37.809,50.393792942173846,31.44216232218226,81.8359552643561,0.0,100.0,0.0
34,37.312,42.108735314054044,54.334690180971634,96.44342549502568,0.0,100.0,0.0
35,36.566,69.13667854377914,70.73457443423867,139.87125297801782,0.0,100.0,0.0
36,35.664,113.44194476800504,74.26497472869274,187.70691949669776,0.0,100.0,0.0
37,35.664,128.04242890338907,50.85027120088564,178.8927001042747,0.0,100.0,0.0
38,35.965,156.1446698148656,30.08721321076817,186.23188302563378,0.0,100.0,0.0
39,36.433,149.52396167498733,11.221886097095943,160.74584777208327,0.0,100.0,0.0
40,48.893,150.94991438316737,0.0,150.94991438316737,0.0,100.0,0.0
41,48.893,157.01745813750796,0.0,206.26745813750796,0.0,100.0,49.25
42,48.893,146.5087050879799,0.0,145.8465995925043,0.0,50.0,-0.662105495475611
43,44.52,170.91761057447502,0.0,170.25550507899942,0.0,50.65217391304348,-0.662105495475611
44,37.259,148.9685857560766,0.0,148.306480260601,0.0,51.30434782608695,-0.6621054954756111
45,36.446,151.39508299390187,0.0,150.73297749842627,0.0,51.95652173913044,-0.6621054954756111
46,35.731,188.3651799766017,0.0,187.7030744811261,0.0,52.608695652173914,-0.6621054954756107
47,34.28,189.5535352651637,0.0,188.8914297696881,0.0,53.2608695652174,-0.6621054954756107
48,34.958,192.2347884081553,0.0,191.5726829126797,0.0,53.913043478260875,-0.6621054954756103
49,34.958,187.42759744395266,0.0,186.76549194847706,0.0,54.56521739130436,-0.6621054954756098
50,34.958,191.9989890534156,0.0,191.33688355794,0.0,55.21739130434784,-0.6621054954756094
51,34.958,193.75024966773137,0.0,193.08814417225577,0.0,55.86956521739132,-0.6621054954756094
52,34.958,199.09047593321995,0.0,198.42837043774435,0.0,56.521739130434796,-0.6621054954756085
53,34.958,199.8485067287209,0.0,199.1864012332453,0.0,57.17391304347828,-0.6621054954756085
54,35.543,199.96783222863888,0.0,199.30572673316328,0.0,57.826086956521756,-0.6621054954756085
55,42.129,199.99723385268405,0.0,199.33512835720845,0.0,58.478260869565226,-0.6621054954756085
56,39.811,199.99988063226914,0.0,199.33777513679354,0.0,59.1304347826087,-0.6621054954756085
57,36.563,199.9999855063903,0.0,199.3378800109147,0.0,59.78260869565217,-0.6621054954756085
58,36.482,199.99999685514632,0.0,199.33789135967072,0.0,60.43478260869565,-0.6621054954756094
59,34.958,199.99999672911636,0.43061137045186554,199.76850260409262,0.0,61.08695652173912,-0.6621054954756111
60,34.958,199.99999583666943,0.0,199.33789034119383,0.0,61.73913043478259,-0.6621054954756111
61,35.464,199.99999606841,0.0,199.3378905729344,0.0,62.391304347826065,-0.6621054954756094
62,35.753,199.9999919270729,0.0,199.3378864315973,0.0,63.04347826086955,-0.6621054954756111
63,35.762,199.99840526356243,0.0,199.33629976808683,0.0,63.69565217391302,-0.6621054954756076
64,47.029,199.9859213191032,0.0,199.3238158236276,0.0,64.3478260869565,-0.6621054954756076
65,49.861,199.99856955912594,0.0,249.24856955912594,0.0,64.99999999999997,49.25
66,47.506,199.99987193605097,0.0,198.61546953642014,0.0,14.999999999999972,-1.3844023996308268
67,36.847,199.9997242129496,0.0,198.61532181331876,0.0,16.363636363636335,-1.3844023996308268
68,36.057,199.99981899307446,0.0,198.61541659344363,0.0,17.727272727272698,-1.3844023996308268
69,34.958,199.9993293238814,0.0,198.61492692425057,0.0,19.090909090909065,-1.3844023996308268
